,date,year,month,decade,season,total_rainfall,rainy_days,daily_max_rainfall,mean_temp,mean_rh
0,1982-01-01,1982,1,80s,Northeast Monsoon (Dec-Feb),107.1,10,36.5,25.9,81.2
1,1982-02-01,1982,2,80s,Northeast Monsoon (Dec-Feb),27.8,5,9.4,27.1,79.5
2,1982-03-01,1982,3,80s,Inter-monsoon (Mar-May),160.8,11,61.7,27.2,82.3
3,1982-04-01,1982,4,80s,Inter-monsoon (Mar-May),157.0,14,45.1,27.0,85.9
4,1982-05-01,1982,5,80s,Inter-monsoon (Mar-May),102.2,10,33.0,28.0,83.2
5,1982-06-01,1982,6,80s,Southwest Monsoon (Jun-Sept),59.5,8,20.6,28.4,80.3
6,1982-07-01,1982,7,80s,Southwest Monsoon (Jun-Sept),76.3,8,17.2,28.2,77.6
7,1982-08-01,1982,8,80s,Southwest Monsoon (Jun-Sept),169.5,11,57.7,27.7,80.4
8,1982-09-01,1982,9,80s,Southwest Monsoon (Jun-Sept),54.1,9,18.0,27.9,80.6
9,1982-10-01,1982,10,80s,Inter-monsoon (Oct - Nov),39.3,10,10.0,27.4,81.5
10,1982-11-01,1982,11,80s,Inter-monsoon (Oct - Nov),134.0,13,39.6,27.3,83.4
11,1982-12-01,1982,12,80s,Northeast Monsoon (Dec-Feb),494.1,21,109.0,26.2,87.7
12,1983-01-01,1983,1,80s,Northeast Monsoon (Dec-Feb),246.0,18,43.2,26.5,85.6
13,1983-02-01,1983,2,80s,Northeast Monsoon (Dec-Feb),5.6,2,5.1,28.1,78.0
14,1983-03-01,1983,3,80s,Inter-monsoon (Mar-May),18.6,2,18.3,28.9,76.0
15,1983-04-01,1983,4,80s,Inter-monsoon (Mar-May),33.6,4,21.3,29.4,77.2
16,1983-05-01,1983,5,80s,Inter-monsoon (Mar-May),160.8,11,32.3,28.3,83.2
17,1983-06-01,1983,6,80s,Southwest Monsoon (Jun-Sept),94.0,11,27.7,28.3,82.4
18,1983-07-01,1983,7,80s,Southwest Monsoon (Jun-Sept),190.0,18,55.5,27.6,83.7
19,1983-08-01,1983,8,80s,Southwest Monsoon (Jun-Sept),262.2,10,181.8,28.1,81.2
20,1983-09-01,1983,9,80s,Southwest Monsoon (Jun-Sept),170.8,18,50.3,27.2,84.4
21,1983-10-01,1983,10,80s,Inter-monsoon (Oct - Nov),212.7,17,40.0,27.6,82.5
22,1983-11-01,1983,11,80s,Inter-monsoon (Oct - Nov),228.8,18,54.8,26.6,85.2
23,1983-12-01,1983,12,80s,Northeast Monsoon (Dec-Feb),370.6,16,164.4,25.4,88.0
24,1984-01-01,1984,1,80s,Northeast Monsoon (Dec-Feb),251.2,18,62.3,25.5,85.8
25,1984-02-01,1984,2,80s,Northeast Monsoon (Dec-Feb),470.4,19,154.4,25.8,86.0
26,1984-03-01,1984,3,80s,Inter-monsoon (Mar-May),361.3,19,119.4,26.5,85.4
27,1984-04-01,1984,4,80s,Inter-monsoon (Mar-May),153.1,17,38.7,27.3,83.8
28,1984-05-01,1984,5,80s,Inter-monsoon (Mar-May),186.5,12,46.0,27.3,84.1
29,1984-06-01,1984,6,80s,Southwest Monsoon (Jun-Sept),255.0,14,121.1,27.5,83.1
30,1984-07-01,1984,7,80s,Southwest Monsoon (Jun-Sept),127.2,12,49.2,27.2,83.7
31,1984-08-01,1984,8,80s,Southwest Monsoon (Jun-Sept),102.7,13,22.5,27.4,84.1
32,1984-09-01,1984,9,80s,Southwest Monsoon (Jun-Sept),186.7,17,46.5,26.8,83.9
33,1984-10-01,1984,10,80s,Inter-monsoon (Oct - Nov),187.5,11,47.2,27.4,82.5
34,1984-11-01,1984,11,80s,Inter-monsoon (Oct - Nov),127.7,17,35.4,26.5,86.3
35,1984-12-01,1984,12,80s,Northeast Monsoon (Dec-Feb),277.4,22,58.4,26.0,86.7
36,1985-01-01,1985,1,80s,Northeast Monsoon (Dec-Feb),111.1,7,35.5,26.6,81.5
37,1985-02-01,1985,2,80s,Northeast Monsoon (Dec-Feb),79.3,11,18.7,27.0,84.0
38,1985-03-01,1985,3,80s,Inter-monsoon (Mar-May),88.0,13,23.8,27.1,83.9
39,1985-04-01,1985,4,80s,Inter-monsoon (Mar-May),110.5,14,29.3,27.5,83.8
40,1985-05-01,1985,5,80s,Inter-monsoon (Mar-May),70.1,12,36.2,28.0,83.4
41,1985-06-01,1985,6,80s,Southwest Monsoon (Jun-Sept),37.0,14,9.9,28.2,79.4
42,1985-07-01,1985,7,80s,Southwest Monsoon (Jun-Sept),131.8,17,32.2,27.0,83.1
43,1985-08-01,1985,8,80s,Southwest Monsoon (Jun-Sept),56.9,11,21.4,27.7,80.4
44,1985-09-01,1985,9,80s,Southwest Monsoon (Jun-Sept),110.7,18,22.0,26.9,83.1
45,1985-10-01,1985,10,80s,Inter-monsoon (Oct - Nov),169.0,21,30.2,26.7,84.7
46,1985-11-01,1985,11,80s,Inter-monsoon (Oct - Nov),179.4,21,38.2,26.6,85.0
47,1985-12-01,1985,12,80s,Northeast Monsoon (Dec-Feb),340.1,22,86.8,26.1,86.2
48,1986-01-01,1986,1,80s,Northeast Monsoon (Dec-Feb),308.2,13,95.6,25.7,83.9
49,1986-02-01,1986,2,80s,Northeast Monsoon (Dec-Feb),26.7,2,23.0,26.9,78.4
50,1986-03-01,1986,3,80s,Inter-monsoon (Mar-May),353.4,17,71.1,26.4,86.6
51,1986-04-01,1986,4,80s,Inter-monsoon (Mar-May),150.0,14,56.4,27.4,85.3
52,1986-05-01,1986,5,80s,Inter-monsoon (Mar-May),145.1,13,51.3,28.2,81.8
53,1986-06-01,1986,6,80s,Southwest Monsoon (Jun-Sept),122.9,13,34.5,27.9,82.5
54,1986-07-01,1986,7,80s,Southwest Monsoon (Jun-Sept),109.7,12,23.5,27.9,79.9
55,1986-08-01,1986,8,80s,Southwest Monsoon (Jun-Sept),72.9,11,28.4,28.3,77.3
56,1986-09-01,1986,9,80s,Southwest Monsoon (Jun-Sept),396.0,22,97.6,26.7,84.4
57,1986-10-01,1986,10,80s,Inter-monsoon (Oct - Nov),227.3,20,65.6,26.9,85.0
58,1986-11-01,1986,11,80s,Inter-monsoon (Oct - Nov),256.7,21,40.5,26.6,84.1
59,1986-12-01,1986,12,80s,Northeast Monsoon (Dec-Feb),367.2,16,131.7,26.3,85.2
60,1987-01-01,1987,1,80s,Northeast Monsoon (Dec-Feb),568.6,16,127.4,25.5,86.0
61,1987-02-01,1987,2,80s,Northeast Monsoon (Dec-Feb),86.9,7,34.8,26.6,79.0
62,1987-03-01,1987,3,80s,Inter-monsoon (Mar-May),132.5,12,40.9,27.5,83.2
63,1987-04-01,1987,4,80s,Inter-monsoon (Mar-May),72.5,10,27.7,27.9,82.8
64,1987-05-01,1987,5,80s,Inter-monsoon (Mar-May),270.0,16,81.4,27.6,84.6
65,1987-06-01,1987,6,80s,Southwest Monsoon (Jun-Sept),126.6,15,30.7,28.7,80.7
66,1987-07-01,1987,7,80s,Southwest Monsoon (Jun-Sept),80.9,11,21.6,28.1,81.3
67,1987-08-01,1987,8,80s,Southwest Monsoon (Jun-Sept),191.9,16,48.2,27.4,83.6
68,1987-09-01,1987,9,80s,Southwest Monsoon (Jun-Sept),129.9,11,44.5,27.6,82.5
69,1987-10-01,1987,10,80s,Inter-monsoon (Oct - Nov),22.6,9,5.9,27.9,82.1
70,1987-11-01,1987,11,80s,Inter-monsoon (Oct - Nov),347.6,17,77.7,27.3,84.0
71,1987-12-01,1987,12,80s,Northeast Monsoon (Dec-Feb),72.8,11,24.3,26.4,84.6
72,1988-01-01,1988,1,80s,Northeast Monsoon (Dec-Feb),237.5,15,69.0,26.8,84.3
73,1988-02-01,1988,2,80s,Northeast Monsoon (Dec-Feb),158.1,9,46.7,27.1,83.2
74,1988-03-01,1988,3,80s,Inter-monsoon (Mar-May),186.8,15,70.1,27.3,85.3
75,1988-04-01,1988,4,80s,Inter-monsoon (Mar-May),109.6,13,22.8,27.8,84.5
76,1988-05-01,1988,5,80s,Inter-monsoon (Mar-May),229.6,14,76.7,28.4,82.7
77,1988-06-01,1988,6,80s,Southwest Monsoon (Jun-Sept),252.2,13,69.4,28.0,81.6
78,1988-07-01,1988,7,80s,Southwest Monsoon (Jun-Sept),305.4,15,75.6,27.3,84.0
79,1988-08-01,1988,8,80s,Southwest Monsoon (Jun-Sept),80.1,14,19.0,27.0,84.9
80,1988-09-01,1988,9,80s,Southwest Monsoon (Jun-Sept),440.4,14,187.3,27.1,84.5
81,1988-10-01,1988,10,80s,Inter-monsoon (Oct - Nov),134.6,17,39.8,27.5,83.2
82,1988-11-01,1988,11,80s,Inter-monsoon (Oct - Nov),401.4,23,111.9,26.3,86.8
83,1988-12-01,1988,12,80s,Northeast Monsoon (Dec-Feb),62.9,11,22.0,26.2,81.1
84,1989-01-01,1989,1,80s,Northeast Monsoon (Dec-Feb),189.7,10,53.0,26.5,84.1
85,1989-02-01,1989,2,80s,Northeast Monsoon (Dec-Feb),52.4,3,48.4,26.6,78.3
86,1989-03-01,1989,3,80s,Inter-monsoon (Mar-May),305.9,21,63.5,26.3,87.6
87,1989-04-01,1989,4,80s,Inter-monsoon (Mar-May),198.6,17,39.0,27.0,86.4
88,1989-05-01,1989,5,80s,Inter-monsoon (Mar-May),194.0,12,38.2,27.3,86.6
89,1989-06-01,1989,6,80s,Southwest Monsoon (Jun-Sept),117.6,12,45.9,27.5,83.3
90,1989-07-01,1989,7,80s,Southwest Monsoon (Jun-Sept),157.6,12,33.3,27.7,82.6
91,1989-08-01,1989,8,80s,Southwest Monsoon (Jun-Sept),201.0,18,81.4,27.1,83.7
92,1989-09-01,1989,9,80s,Southwest Monsoon (Jun-Sept),247.3,14,102.2,26.9,84.4
93,1989-10-01,1989,10,80s,Inter-monsoon (Oct - Nov),111.0,16,24.9,27.1,83.7
94,1989-11-01,1989,11,80s,Inter-monsoon (Oct - Nov),508.4,20,148.6,26.7,86.0
95,1989-12-01,1989,12,80s,Northeast Monsoon (Dec-Feb),179.7,18,44.2,26.3,85.5
96,1990-01-01,1990,1,90s,Northeast Monsoon (Dec-Feb),147.4,13,73.9,26.2,83.8
97,1990-02-01,1990,2,90s,Northeast Monsoon (Dec-Feb),24.1,8,6.6,27.6,80.9
98,1990-03-01,1990,3,90s,Inter-monsoon (Mar-May),94.2,4,48.6,28.2,77.6
99,1990-04-01,1990,4,90s,Inter-monsoon (Mar-May),52.4,10,12.0,28.5,81.2
100,1990-05-01,1990,5,90s,Inter-monsoon (Mar-May),180.1,11,153.7,28.6,81.1
101,1990-06-01,1990,6,90s,Southwest Monsoon (Jun-Sept),112.6,9,76.1,28.3,80.7
102,1990-07-01,1990,7,90s,Southwest Monsoon (Jun-Sept),124.0,12,44.5,27.5,82.7
103,1990-08-01,1990,8,90s,Southwest Monsoon (Jun-Sept),146.6,13,38.3,28.0,82.3
104,1990-09-01,1990,9,90s,Southwest Monsoon (Jun-Sept),204.5,17,44.5,27.2,83.2
105,1990-10-01,1990,10,90s,Inter-monsoon (Oct - Nov),56.4,12,20.2,27.5,83.5
106,1990-11-01,1990,11,90s,Inter-monsoon (Oct - Nov),180.4,17,46.9,27.2,83.5
107,1990-12-01,1990,12,90s,Northeast Monsoon (Dec-Feb),201.1,16,33.5,26.3,86.0
108,1991-01-01,1991,1,90s,Northeast Monsoon (Dec-Feb),123.9,13,36.2,26.7,84.1
109,1991-02-01,1991,2,90s,Northeast Monsoon (Dec-Feb),45.5,7,17.9,27.1,81.6
110,1991-03-01,1991,3,90s,Inter-monsoon (Mar-May),92.4,10,48.6,27.8,79.9
111,1991-04-01,1991,4,90s,Inter-monsoon (Mar-May),134.2,13,32.2,27.7,84.3
112,1991-05-01,1991,5,90s,Inter-monsoon (Mar-May),256.4,23,44.0,27.7,86.6
113,1991-06-01,1991,6,90s,Southwest Monsoon (Jun-Sept),88.7,9,55.6,28.6,81.0
114,1991-07-01,1991,7,90s,Southwest Monsoon (Jun-Sept),37.3,8,10.7,28.5,78.7
115,1991-08-01,1991,8,90s,Southwest Monsoon (Jun-Sept),226.2,8,129.9,28.2,79.8
116,1991-09-01,1991,9,90s,Southwest Monsoon (Jun-Sept),123.1,12,53.6,27.5,83.0
117,1991-10-01,1991,10,90s,Inter-monsoon (Oct - Nov),52.0,5,20.4,27.5,81.4
118,1991-11-01,1991,11,90s,Inter-monsoon (Oct - Nov),205.0,19,75.2,26.3,86.5
119,1991-12-01,1991,12,90s,Northeast Monsoon (Dec-Feb),492.3,19,79.4,25.6,90.7
