,date,year,month,decade,season,total_rainfall,rainy_days,daily_max_rainfall,mean_temp,mean_rh,imported_cases,local_cases,total_cases
0,2020-01-01,2020,1,20s,Northeast Monsoon (Dec-Feb),88.4,6,38.0,27.7,77.9,16,0,16
1,2020-02-01,2020,2,20s,Northeast Monsoon (Dec-Feb),65.0,8,23.8,27.9,76.0,8,78,86
2,2020-03-01,2020,3,20s,Inter-monsoon (Mar-May),108.8,8,47.4,28.6,75.2,489,335,824
3,2020-04-01,2020,4,20s,Inter-monsoon (Mar-May),188.0,12,51.8,28.9,76.4,66,15166,15232
4,2020-05-01,2020,5,20s,Inter-monsoon (Mar-May),255.6,16,53.8,28.9,79.1,1,18709,18710
5,2020-06-01,2020,6,20s,Southwest Monsoon (Jun-Sept),233.8,21,41.0,28.1,80.2,2,9017,9019
6,2020-07-01,2020,7,20s,Southwest Monsoon (Jun-Sept),140.8,22,30.4,27.9,78.2,117,8166,8283
7,2020-08-01,2020,8,20s,Southwest Monsoon (Jun-Sept),103.4,12,34.6,28.3,76.8,204,4397,4601
8,2020-09-01,2020,9,20s,Southwest Monsoon (Jun-Sept),150.2,18,32.8,27.5,79.0,162,832,994
9,2020-10-01,2020,10,20s,Inter-monsoon (Oct - Nov),78.8,16,19.0,28.3,75.4,186,64,250
10,2020-11-01,2020,11,20s,Inter-monsoon (Oct - Nov),220.6,19,64.2,27.2,81.7,195,8,203
11,2020-12-01,2020,12,20s,Northeast Monsoon (Dec-Feb),253.2,20,58.2,27.2,81.1,368,13,381
12,2021-01-01,2021,1,20s,Northeast Monsoon (Dec-Feb),692.8,17,210.6,26.0,82.6,904,33,937
13,2021-02-01,2021,2,20s,Northeast Monsoon (Dec-Feb),1.0,2,0.6,27.3,73.8,383,17,400
14,2021-03-01,2021,3,20s,Inter-monsoon (Mar-May),182.4,14,38.0,27.9,76.6,442,3,445
15,2021-04-01,2021,4,20s,Inter-monsoon (Mar-May),290.4,14,83.8,28.2,77.4,717,47,764
16,2021-05-01,2021,5,20s,Inter-monsoon (Mar-May),245.8,13,49.8,28.7,79.3,374,532,906
17,2021-06-01,2021,6,20s,Southwest Monsoon (Jun-Sept),93.4,20,23.8,28.5,77.8,174,354,528
18,2021-07-01,2021,7,20s,Southwest Monsoon (Jun-Sept),195.8,12,75.0,28.6,76.5,214,2188,2402
19,2021-08-01,2021,8,20s,Southwest Monsoon (Jun-Sept),293.6,24,71.4,27.6,80.4,129,2510,2639
20,2021-09-01,2021,9,20s,Southwest Monsoon (Jun-Sept),205.4,14,63.4,28.3,77.3,162,28739,28901
21,2021-10-01,2021,10,20s,Inter-monsoon (Oct - Nov),177.0,14,59.6,28.5,78.3,193,101660,101853
22,2021-11-01,2021,11,20s,Inter-monsoon (Oct - Nov),312.4,23,47.8,27.6,81.7,225,66126,66351
23,2021-12-01,2021,12,20s,Northeast Monsoon (Dec-Feb),119.6,15,46.8,27.7,79.7,1682,12998,14680
24,2022-01-01,2022,1,20s,Northeast Monsoon (Dec-Feb),99.8,9,50.0,27.4,77.4,12091,61315,73406
25,2022-02-01,2022,2,20s,Northeast Monsoon (Dec-Feb),175.0,16,29.6,27.3,80.3,5031,366582,371613
26,2022-03-01,2022,3,20s,Inter-monsoon (Mar-May),163.2,21,36.2,28.1,79.2,4833,367171,372004
27,2022-04-01,2022,4,20s,Inter-monsoon (Mar-May),239.6,18,58.8,28.1,80.0,2817,98663,101480
28,2022-05-01,2022,5,20s,Inter-monsoon (Mar-May),102.0,12,44.6,29.2,76.5,3684,101702,105386
29,2022-06-01,2022,6,20s,Southwest Monsoon (Jun-Sept),211.8,17,59.4,27.9,79.1,10587,130187,140774
30,2022-07-01,2022,7,20s,Southwest Monsoon (Jun-Sept),145.2,16,27.8,28.6,76.8,11808,258180,269988
31,2022-08-01,2022,8,20s,Southwest Monsoon (Jun-Sept),141.4,15,32.4,28.1,77.4,6378,118810,125188
