,date,year,month,region,country,no_of_visitor_arrivals,decade,season
5581,1996-01-01,1996,1,Asia,Brunei,4600,90s,Northeast Monsoon (Dec-Feb)
5582,1996-01-01,1996,1,Asia,Indonesia,75854,90s,Northeast Monsoon (Dec-Feb)
5583,1996-01-01,1996,1,Asia,Malaysia,47953,90s,Northeast Monsoon (Dec-Feb)
5584,1996-01-01,1996,1,Asia,Philippines,10594,90s,Northeast Monsoon (Dec-Feb)
5585,1996-01-01,1996,1,Asia,Thailand,16996,90s,Northeast Monsoon (Dec-Feb)
5586,1996-01-01,1996,1,Asia,Vietnam,1536,90s,Northeast Monsoon (Dec-Feb)
5587,1996-01-01,1996,1,Asia,Japan,105750,90s,Northeast Monsoon (Dec-Feb)
5588,1996-01-01,1996,1,Asia,Hong Kong,15868,90s,Northeast Monsoon (Dec-Feb)
5589,1996-01-01,1996,1,Asia,"China, People's Republic Of",19510,90s,Northeast Monsoon (Dec-Feb)
5590,1996-01-01,1996,1,Asia,Taiwan,36473,90s,Northeast Monsoon (Dec-Feb)
5591,1996-01-01,1996,1,Asia,"Korea, Republic Of",57136,90s,Northeast Monsoon (Dec-Feb)
5592,1996-01-01,1996,1,Asia,India,14707,90s,Northeast Monsoon (Dec-Feb)
5593,1996-01-01,1996,1,Asia,Pakistan,4171,90s,Northeast Monsoon (Dec-Feb)
5594,1996-01-01,1996,1,Asia,"Sri Lanka, Republic Of",3638,90s,Northeast Monsoon (Dec-Feb)
5595,1996-01-01,1996,1,Asia,Saudi Arabia,852,90s,Northeast Monsoon (Dec-Feb)
5596,1996-01-01,1996,1,Asia,Kuwait,150,90s,Northeast Monsoon (Dec-Feb)
5597,1996-01-01,1996,1,Asia,United Arab Emirates,879,90s,Northeast Monsoon (Dec-Feb)
5598,1996-01-01,1996,1,Europe,United Kingdom,24826,90s,Northeast Monsoon (Dec-Feb)
5599,1996-01-01,1996,1,Europe,Germany,16463,90s,Northeast Monsoon (Dec-Feb)
5600,1996-01-01,1996,1,Europe,France,4986,90s,Northeast Monsoon (Dec-Feb)
5601,1996-01-01,1996,1,Europe,Italy,3862,90s,Northeast Monsoon (Dec-Feb)
5602,1996-01-01,1996,1,Europe,Netherlands,5276,90s,Northeast Monsoon (Dec-Feb)
5603,1996-01-01,1996,1,Europe,Greece,1114,90s,Northeast Monsoon (Dec-Feb)
5604,1996-01-01,1996,1,Europe,Belgium-luxembourg,1375,90s,Northeast Monsoon (Dec-Feb)
5605,1996-01-01,1996,1,Europe,Switzerland,4755,90s,Northeast Monsoon (Dec-Feb)
5606,1996-01-01,1996,1,Europe,Austria,1928,90s,Northeast Monsoon (Dec-Feb)
5607,1996-01-01,1996,1,Europe,Scandinavia,8406,90s,Northeast Monsoon (Dec-Feb)
5608,1996-01-01,1996,1,Europe,CIS & Eastern Europe,5520,90s,Northeast Monsoon (Dec-Feb)
5609,1996-01-01,1996,1,Americas,USA,33675,90s,Northeast Monsoon (Dec-Feb)
5610,1996-01-01,1996,1,Americas,Canada,6300,90s,Northeast Monsoon (Dec-Feb)
5611,1996-01-01,1996,1,Oceania,Australia,33004,90s,Northeast Monsoon (Dec-Feb)
5612,1996-01-01,1996,1,Oceania,New Zealand,5216,90s,Northeast Monsoon (Dec-Feb)
5614,1996-02-01,1996,2,Asia,Brunei,5207,90s,Northeast Monsoon (Dec-Feb)
5615,1996-02-01,1996,2,Asia,Indonesia,98406,90s,Northeast Monsoon (Dec-Feb)
5616,1996-02-01,1996,2,Asia,Malaysia,57795,90s,Northeast Monsoon (Dec-Feb)
5617,1996-02-01,1996,2,Asia,Philippines,10397,90s,Northeast Monsoon (Dec-Feb)
5618,1996-02-01,1996,2,Asia,Thailand,15892,90s,Northeast Monsoon (Dec-Feb)
5619,1996-02-01,1996,2,Asia,Vietnam,1345,90s,Northeast Monsoon (Dec-Feb)
5620,1996-02-01,1996,2,Asia,Japan,84686,90s,Northeast Monsoon (Dec-Feb)
5621,1996-02-01,1996,2,Asia,Hong Kong,32198,90s,Northeast Monsoon (Dec-Feb)
5622,1996-02-01,1996,2,Asia,"China, People's Republic Of",18351,90s,Northeast Monsoon (Dec-Feb)
5623,1996-02-01,1996,2,Asia,Taiwan,55018,90s,Northeast Monsoon (Dec-Feb)
5624,1996-02-01,1996,2,Asia,"Korea, Republic Of",32462,90s,Northeast Monsoon (Dec-Feb)
5625,1996-02-01,1996,2,Asia,India,12537,90s,Northeast Monsoon (Dec-Feb)
5626,1996-02-01,1996,2,Asia,Pakistan,2799,90s,Northeast Monsoon (Dec-Feb)
5627,1996-02-01,1996,2,Asia,"Sri Lanka, Republic Of",3003,90s,Northeast Monsoon (Dec-Feb)
5628,1996-02-01,1996,2,Asia,Saudi Arabia,825,90s,Northeast Monsoon (Dec-Feb)
5629,1996-02-01,1996,2,Asia,Kuwait,471,90s,Northeast Monsoon (Dec-Feb)
5630,1996-02-01,1996,2,Asia,United Arab Emirates,693,90s,Northeast Monsoon (Dec-Feb)
5631,1996-02-01,1996,2,Europe,United Kingdom,25563,90s,Northeast Monsoon (Dec-Feb)
5632,1996-02-01,1996,2,Europe,Germany,17082,90s,Northeast Monsoon (Dec-Feb)
5633,1996-02-01,1996,2,Europe,France,7467,90s,Northeast Monsoon (Dec-Feb)
5634,1996-02-01,1996,2,Europe,Italy,3041,90s,Northeast Monsoon (Dec-Feb)
5635,1996-02-01,1996,2,Europe,Netherlands,5019,90s,Northeast Monsoon (Dec-Feb)
5636,1996-02-01,1996,2,Europe,Greece,900,90s,Northeast Monsoon (Dec-Feb)
5637,1996-02-01,1996,2,Europe,Belgium-luxembourg,1513,90s,Northeast Monsoon (Dec-Feb)
5638,1996-02-01,1996,2,Europe,Switzerland,4789,90s,Northeast Monsoon (Dec-Feb)
5639,1996-02-01,1996,2,Europe,Austria,2094,90s,Northeast Monsoon (Dec-Feb)
